formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C20H34O4	[M + H3N + H]+	C20H38NO4+	Terpenoids	0.420	Aromatic polyketides	0.189	Bisabolane sesquiterpenoids	0.095	Benzenoids	0.920	Phenol ethers	0.556					Phenol ethers	0.556	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	356.279	86	603011877089002328	603010766688948727	72
1	C15H28O6	[M + H]+	C15H29O6+	Fatty acids	0.808	Glycerolipids	0.207	Wax monoesters	0.163	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.977	Dialkyl ethers	0.976	Dialkyl ethers	0.976	Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	305.196	86	603011896181475218	603010766823166460	73
1	C18H26O3	[M + H]+	C18H27O3+	Terpenoids	0.990	Diterpenoids	0.834	Dolabellane diterpenoids	0.021	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbonyl compounds	0.964	Ketones	0.794	Cyclohexenones	0.604	Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities	291.195	86	603011788962477135	603010767003521537	74
1	C16H34O4	[M + H]+	C16H35O4+	Fatty acids	0.994	Fatty acyls	0.819	Fatty alcohols	0.703	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.994	Dialkyl ethers	0.994	Polyethylene glycols	0.791	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	291.253	86	603011888598173367	603010767146127878	75
1	C24H50O7	[M + H3N + H]+	C24H54NO7+	Fatty acids	0.950	Fatty acyls	0.648	Fatty alcohols	0.473	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.997	Dialkyl ethers	0.997	Polyethylene glycols	0.991	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	468.389	86	603011851973508626	603010767410369040	77
1	C15H28O6	[M + H3N + H]+	C15H32NO6+	Fatty acids	0.713	Glycerolipids	0.134	Wax monoesters	0.058	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.989	Dialkyl ethers	0.988	Dialkyl ethers	0.988	Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	322.222	86	603011905530579509	603010767540392469	79
1	C22H38O5	[M + H3N + H]+	C22H42NO5+	Terpenoids	0.363	Sesquiterpenoids	0.268	Catechols with side chains	0.067	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.992	Dialkyl ethers	0.933	Polyethylene glycols	0.959	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Phenylpropanes; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	400.305	86	603011873825833454	603010767674610202	82
1	C21H35NO8	[M + H]+	C21H36NO8+	Amino acids and Peptides	0.443	Linear polyketides	0.674	Open-chain polyketides	0.522	Organic acids and derivatives	0.960	Carboxylic acids and derivatives	0.935	Amino acids, peptides, and analogues	0.505	Amino acids and derivatives	0.503	Amino acids and derivatives	0.503	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	430.243	86	603011827055147545	603010767804633631	83
1	C13H20O2	[M + H3N + H]+	C13H24NO2+	Fatty acids	0.969	Fatty Acids and Conjugates	0.681	Unsaturated fatty acids	0.741	Lipids and lipid-like molecules	0.638							Lipids and lipid-like molecules	0.638	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	226.180	86	603011824261740998	603010767980794404	84
1	C24H42O6	[M + H3N + H]+	C24H46NO6+	Terpenoids	0.315	Sesquiterpenoids	0.252	Catechols with side chains	0.042	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.998	Dialkyl ethers	0.969	Polyethylene glycols	0.963	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Phenylpropanes; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	444.331	86	603011828644788846	603010768333115950	87
1	C26H49NO7	[M + H]+	C26H50NO7+	Alkaloids	0.712	Pseudoalkaloids (transamidation)	0.058	Phenylethylamines	0.028	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.998	Dialkyl ethers	0.982	Polyethylene glycols	0.723	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Primary amines; Polyethylene glycols; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	488.358	86	603011902871390494	603010768492499507	88
1	C12H22O5	[M + H]+	C12H23O5+	Fatty acids	0.852	Fatty esters	0.526	Wax monoesters	0.550	Organic acids and derivatives	0.567	Carboxylic acids and derivatives	0.560	Carboxylic acid derivatives	0.544	Carboxylic acid esters	0.505	Carboxylic acid esters	0.505	Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	247.154	87	603011793626543469	603010768660271672	89
1	C23H45N5O3	[M + H]+	C23H46N5O3+	Amino acids and Peptides	0.575	Small peptides	0.404	Tripeptides	0.217	Organic acids and derivatives	0.977	Carboxylic acids and derivatives	0.936	Amino acids, peptides, and analogues	0.919	Amino acids and derivatives	0.913	Alpha amino acid amides	0.778	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Carboximidamides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	440.358	87	603011877588124563	603010768802878013	91
1	C27H53N5O4	[M + H]+	C27H54N5O4+	Fatty acids	0.857	Fatty amides	0.422	N-acyl amines	0.059	Organic acids and derivatives	0.948	Carboxylic acids and derivatives	0.876	Amino acids, peptides, and analogues	0.666	Amino acids and derivatives	0.659	Amino acids and derivatives	0.659	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	512.415	87	603011832444828469	603010768928707138	94
1	C15H29N5O3	[M + H]+	C15H30N5O3+	Alkaloids	0.393	Nucleosides	0.210	Purine nucleosides	0.191	Organoheterocyclic compounds	0.873	Heteroaromatic compounds	0.722					Heteroaromatic compounds	0.722	Organic compounds; Organoheterocyclic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Guanidines; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Carboximidamides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	328.232	87	603011876103340787	603010769117450823	98
1	C10H22O5	[M + H3N + H]+	C10H26NO5+	Fatty acids	0.934	Fatty acyls	0.548	Fatty alcohols	0.225	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.999	Dialkyl ethers	0.998	Polyethylene glycols	0.584	Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	240.180	88	603011834541980602	603010769415246417	100
1	C34H72NO6P	[M + Na]+	C34H72NNaO6P+	Fatty acids	1.000	Glycerophospholipids	1.000	Glycerophosphoethanolamines	0.998	Lipids and lipid-like molecules	0.935	Glycerophospholipids	0.995	Glycerophosphoethanolamines	0.967	1-alkyl,2-acylglycerophosphoethanolamines	0.747	1-alkyl,2-acylglycerophosphoethanolamines	0.747	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerolipids; Ethers; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Monocarboxylic acids and derivatives; Dialkyl ethers; Phosphoethanolamines; Glycerophosphoethanolamines; Glycerol ethers; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; 1-alkyl,2-acylglycerophosphoethanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	644.494	87	603011796289926624	603010769645933142	101
1	C10H22O5	[M + H]+	C10H23O5+	Fatty acids	0.966	Fatty acyls	0.470	Fatty alcohols	0.168	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.999	Dialkyl ethers	0.998	Dialkyl ethers	0.998	Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	223.154	88	603011905916455531	603010769780150875	104
1	C12H26O6	[M + H3N + H]+	C12H30NO6+	Fatty acids	0.977	Fatty acyls	0.385	Methoxy fatty acids	0.130	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	1.000	Dialkyl ethers	0.999	Dialkyl ethers	0.999	Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	284.206	88	603011855526084379	603010770367353455	110
1	C7H14O3	[M + H]+	C7H15O3+	Fatty acids	0.982	Fatty esters	0.690	Wax monoesters	0.724	Organic acids and derivatives	0.746	Carboxylic acids and derivatives	0.733	Monocarboxylic acids and derivatives	0.652			Monocarboxylic acids and derivatives	0.652	Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Dialkyl ethers; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	147.101	87	603011853907082964	603010770509959796	111
1	C12H26O6	[M + H]+	C12H27O6+	Fatty acids	0.960	Fatty acyls	0.646	Fatty alcohols	0.410	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.997	Dialkyl ethers	0.996	Dialkyl ethers	0.996	Organic compounds; Alcohols and polyols; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	267.180	87	603011906965031899	603010770635788921	115
3	C15H29N5O2	[M + H]+	C15H30N5O2+	Alkaloids	0.617	Histidine alkaloids	0.042	Imidazole alkaloids	0.042	Organoheterocyclic compounds	0.991	Triazines	0.314	Aminotriazines	0.508	N-aliphatic s-triazines	0.586	N-aliphatic s-triazines	0.586	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Dialkyl ethers; Aminotriazines; Amines; Tertiary amines; N-aliphatic s-triazines; Organic oxides; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	312.238	88	603011878737363991	603010770761618046	116
1	C9H10	[M + H]+	C9H11+	Terpenoids	0.360	Phenylpropanoids (C6-C3)	0.282	Cinnamic acids and derivatives	0.283	Benzenoids	0.968	Benzene and substituted derivatives	0.671					Benzene and substituted derivatives	0.671	Organic compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbons; Olefins; Unsaturated hydrocarbons; Aromatic hydrocarbons; Chemical entities	119.086	88	603011835007548425	603010770879058563	117
1	C24H30O6	[M + H]+	C24H31O6+	Shikimates and Phenylpropanoids	0.703	Lignans	0.535	Dibenzylbutane lignans	0.085	Benzenoids	0.894	Phenol ethers	0.630					Phenol ethers	0.630	Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	415.211	88	603011940364281072	603010772414173832	118
2	C10H20N6O4	[M + H]+	C10H21N6O4+	Amino acids and Peptides	0.753	Small peptides	0.665	Aminoacids	0.127	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.998	Guanidines	0.968			Guanidines	0.968	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Guanidines; Organic nitro compounds; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	289.162	88	603011912073695999	603010772728746637	121
2	C30H26N2O5	[M + H3N + H]+	C30H30N3O5+	Alkaloids	0.493	Tryptophan alkaloids	0.225	Acridone alkaloids	0.484	Benzenoids	0.988	Phenol ethers	0.530					Phenol ethers	0.530	Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	512.217	88	603011933158465798	603010772875547282	123
1	C10H22O4	[M + H]+	C10H23O4+	Fatty acids	0.894	Fatty acyls	0.690	Fatty alcohols	0.446	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.997	Dialkyl ethers	0.996	Polyethylene glycols	0.879	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	207.159	88	603011955799321033	603010773068485271	124
3	C22H30N4O7S	[M + H]+	C22H31N4O7S+	Amino acids and Peptides	0.135	Small peptides	0.033	Cyclamides	0.094	Benzenoids	0.979	Benzene and substituted derivatives	0.958	Benzenesulfonamides	0.902			Benzenesulfonamides	0.902	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organosulfonamides; Benzene and substituted derivatives; Benzenoids; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	495.190	88	603011918503565764	603010773223674524	125
